lr,ins,sr,reg,mean,rmse,std
0.75,2.0,0.8,100.0,0.04090136789706554,0.04271522563809451,0.06425361628637667
0.75,2.0,1.4,0.01,0.04098693259668274,0.0422368450941623,0.06364779192760912
0.75,2.0,1.4,0.1,0.04098651148125879,0.04223692078263535,0.06364793726874887
0.75,2.0,1.4,1.0,0.04098752368299083,0.04224176891703153,0.06364820518624578
0.75,2.0,1.4,10.0,0.04099476902669143,0.04249433411568797,0.06384374979670186
0.75,2.0,1.4,100.0,0.04100818510816092,0.04421439318579184,0.06513886980212898
0.75,2.0,2.0,0.01,0.040750664218982394,0.041628685311355336,0.06261255589164343
0.75,2.0,2.0,0.1,0.04075284979656838,0.04162969293098193,0.06261082142337794
0.75,2.0,2.0,1.0,0.04075258728795089,0.0416347265178972,0.06260650398692903
0.75,2.0,2.0,10.0,0.04075035243082328,0.04181880088667508,0.06268975178931273
0.75,2.0,2.0,100.0,0.04074802525011569,0.04408481678710399,0.06402327309160616
1.0,0.2,0.2,0.01,0.04041716346395967,0.03657869659138182,0.06282599097749515
1.0,0.2,0.2,0.1,0.04049932697767204,0.03380636873907082,0.0607838079540037
1.0,0.2,0.2,1.0,0.04066571454707073,0.032922573811750594,0.05959917078796862
1.0,0.2,0.2,10.0,0.0407434868265037,0.03272711252838241,0.05913355904527147
1.0,0.2,0.2,100.0,0.0408462808346874,0.03205842629961404,0.0580206106763803
1.0,0.2,0.8,0.01,0.04024394888504257,0.039322507348306404,0.06541830605551636
1.0,0.2,0.8,0.1,0.04024842663981468,0.038706118061051564,0.0650316680246074
1.0,0.2,0.8,1.0,0.04026630916693865,0.03668127770582926,0.06383326396225458
1.0,0.2,0.8,10.0,0.040321934312864356,0.035114677859511306,0.06279705466332204
1.0,0.2,0.8,100.0,0.040439274748469214,0.03462521805780267,0.06144251915456179
1.0,0.2,1.4,0.01,0.04083937876414587,0.03715695548551122,0.06016407955517639
1.0,0.2,1.4,0.1,0.0407747033299638,0.037176451650065646,0.06018455436932586
1.0,0.2,1.4,1.0,0.040775189369119724,0.03719537159622569,0.060186383918419115
1.0,0.2,1.4,10.0,0.04081156955469378,0.03725857901893767,0.06009323918268238
1.0,0.2,1.4,100.0,0.04084692539960464,0.03834003106349794,0.05985357071675602
1.0,0.2,2.0,0.01,0.04118534400945451,0.03440085359594646,0.058516917188793795
1.0,0.2,2.0,0.1,0.04117332068082425,0.03438972959846899,0.058532701090216153
1.0,0.2,2.0,1.0,0.041166824671376896,0.03438276910669281,0.05853114418594023
1.0,0.2,2.0,10.0,0.041183940189677366,0.03445650537704524,0.05844217201885228
1.0,0.2,2.0,100.0,0.041233420918969636,0.03526546221679288,0.057769348173399064
1.0,0.8,0.2,0.01,0.04062517018716558,0.039558438276990286,0.0636648251663288
1.0,0.8,0.2,0.1,0.04062687153326351,0.039507943543393986,0.06362661908790249
1.0,0.8,0.2,1.0,0.040637619899072865,0.03916788624052083,0.0633732409049417
1.0,0.8,0.2,10.0,0.04069162336744523,0.03754354225070155,0.062221323076677715
1.0,0.8,0.2,100.0,0.040814697458753615,0.034137921804304056,0.06022317515050496
1.0,0.8,0.8,0.01,0.040542987935947794,0.04141374052606434,0.06567542047466775
1.0,0.8,0.8,0.1,0.04054440999595834,0.041408272756369595,0.06567193271194784
1.0,0.8,0.8,1.0,0.04054586641288628,0.041364199033184376,0.06564845658385089
1.0,0.8,0.8,10.0,0.04055292143909401,0.04125857816494142,0.06565823604602986
1.0,0.8,0.8,100.0,0.040562878009187044,0.039589703135767935,0.06457099235158784
1.0,0.8,1.4,0.01,0.040516113180254006,0.04186861846444333,0.06446440839185306
1.0,0.8,1.4,0.1,0.04051775589377637,0.04187092093845483,0.0644634199062328
1.0,0.8,1.4,1.0,0.040518617574674384,0.0418715848399436,0.06445487398642497
1.0,0.8,1.4,10.0,0.040526368652494905,0.04201312045720932,0.06449771361273447
1.0,0.8,1.4,100.0,0.04056952401222722,0.04401881145807034,0.06562447814940085
1.0,0.8,2.0,0.01,0.04076926377999726,0.03764119139258253,0.06060071383648364
1.0,0.8,2.0,0.1,0.04082298782355167,0.03766534239076243,0.06063160572050289
1.0,0.8,2.0,1.0,0.04077233780393159,0.03767342280251393,0.060614211226411065
1.0,0.8,2.0,10.0,0.04085097056385495,0.037777485821180776,0.06056972376977357
1.0,0.8,2.0,100.0,0.040841807298056435,0.03921764954931792,0.060653068495113996
1.0,1.4,0.2,0.01,0.040648208056612824,0.03970154651919755,0.06364962656122994
1.0,1.4,0.2,0.1,0.0406484052357371,0.03969353632805508,0.06364455467351501
1.0,1.4,0.2,1.0,0.04064869625687237,0.03964863593777932,0.06362399028268768
1.0,1.4,0.2,10.0,0.04064940443889627,0.03944610856556362,0.06355119214976006
1.0,1.4,0.2,100.0,0.04067938992907451,0.037674070021655306,0.06241967718247502
1.0,1.4,0.8,0.01,0.04058698996814828,0.041759594959603866,0.06516550945946561
1.0,1.4,0.8,0.1,0.04058763068805006,0.04175815165154651,0.06516501989756128
1.0,1.4,0.8,1.0,0.04058825509763177,0.04175018678843722,0.06516533722626063
1.0,1.4,0.8,10.0,0.04059151313161757,0.04192331876930371,0.06538285783288286
1.0,1.4,0.8,100.0,0.040603308383142384,0.041765417209605936,0.0654413558949082
1.0,1.4,1.4,0.01,0.04062130922958885,0.04214867011945247,0.06486410644846513
1.0,1.4,1.4,0.1,0.040621597928301556,0.04214884793342819,0.06486429612760887
1.0,1.4,1.4,1.0,0.04062306783131752,0.042155152519212154,0.06486273459265325
1.0,1.4,1.4,10.0,0.04063523141143084,0.04239067171708428,0.06501332208216246
1.0,1.4,1.4,100.0,0.04069002098076132,0.04447585011362749,0.06648352772952924
1.0,1.4,2.0,0.01,0.04086172981604075,0.03961098000412314,0.0621273456514438
1.0,1.4,2.0,0.1,0.04087309027191629,0.03962390490878394,0.06212394304944025
1.0,1.4,2.0,1.0,0.04083202636126052,0.039649809014540474,0.062120792749303
1.0,1.4,2.0,10.0,0.04084945046054033,0.03973354399054817,0.06210276613640845
1.0,1.4,2.0,100.0,0.0408577888931503,0.04178086832758599,0.06289549653619635
1.0,2.0,0.2,0.01,0.04075832056801991,0.0397960219252421,0.06342044357056896
1.0,2.0,0.2,0.1,0.04075845192867344,0.03979355806020232,0.0634191077952936
1.0,2.0,0.2,1.0,0.04075628384306129,0.0397863144208249,0.06342379837300277
1.0,2.0,0.2,10.0,0.040742514232360645,0.039896442247562273,0.06359164455305752
1.0,2.0,0.2,100.0,0.04073012422236971,0.03936562131919621,0.06333303454757493
1.0,2.0,0.8,0.01,0.04090500345793131,0.04191796291674752,0.06483904000075551
1.0,2.0,0.8,0.1,0.04090583859543944,0.0419180199938148,0.06483944025688376
1.0,2.0,0.8,1.0,0.04090649161115176,0.04192056064619483,0.06484472775469467
1.0,2.0,0.8,10.0,0.04091057202145186,0.04216901973251839,0.06509916325942101
1.0,2.0,0.8,100.0,0.04091847676161397,0.04272380678610695,0.06566311078536358
1.0,2.0,1.4,0.01,0.04063833257533866,0.042349428262705366,0.06488417394955365
1.0,2.0,1.4,0.1,0.040639314609017145,0.04235079410113122,0.06488506856899888
1.0,2.0,1.4,1.0,0.0406395518329371,0.04235851336641065,0.064887707052691
1.0,2.0,1.4,10.0,0.040641071511870006,0.042611045570428135,0.06508111036740662
1.0,2.0,1.4,100.0,0.040643686247343935,0.0445913094791736,0.0666140543780535
1.0,2.0,2.0,0.01,0.04066864588007258,0.0413619886333838,0.06343329526854755
1.0,2.0,2.0,0.1,0.0406721736670028,0.04133492376900063,0.0634262876789336
1.0,2.0,2.0,1.0,0.04069820502032491,0.0413654416228626,0.06342888471699652
1.0,2.0,2.0,10.0,0.04068979256569028,0.041509518266264187,0.06347455761314404
1.0,2.0,2.0,100.0,0.04075047850374743,0.043785872877079225,0.06471960969990605
