pitch,on,off,length,hand
72,202800,202920,120,1
69,202920,203040,120,1
71,203040,203160,120,1
74,203160,203280,120,1
73,203280,203400,120,1
76,203400,203520,120,1
74,203520,203640,120,1
76,203640,203760,120,1
74,203760,203880,120,1
73,203880,204000,120,1
74,204000,204120,120,1
78,204120,204240,120,1
76,204240,204360,120,1
79,204360,204480,120,1
78,204480,204600,120,1
76,204600,204720,120,1
74,204720,204840,120,1
73,204840,204960,120,1
74,204960,205080,120,1
78,205080,205200,120,1
76,205200,205320,120,1
79,205320,205440,120,1
78,205440,205560,120,1
76,205560,205680,120,1
74,205680,205800,120,1
73,205800,205920,120,1
74,205920,206040,120,1
76,206040,206160,120,1
78,206160,206280,120,1
81,206280,206400,120,1
79,206400,206520,120,1
78,206520,206640,120,1
76,206640,206760,120,1
75,206760,206880,120,1
76,206880,207000,120,1
78,207000,207120,120,1
79,207120,207240,120,1
81,207240,207360,120,1
79,207360,207480,120,1
78,207480,207600,120,1
76,207600,207720,120,1
75,207720,207840,120,1
76,207840,207960,120,1
78,207960,208080,120,1
79,208080,208200,120,1
83,208200,208320,120,1
81,208320,208440,120,1
79,208440,208560,120,1
78,208560,208680,120,1
76,208680,208800,120,1
78,208800,208920,120,1
79,208920,209040,120,1
81,209040,209160,120,1
83,209160,209280,120,1
81,209280,209400,120,1
79,209400,209520,120,1
78,209520,209640,120,1
76,209640,209760,120,1
78,209760,209880,120,1
79,209880,210000,120,1
81,210000,210120,120,1
84,210120,210240,120,1
83,210240,210360,120,1
86,210360,210480,120,1
81,210480,210600,120,1
86,210600,210720,120,1
83,210720,210840,120,1
86,210840,210960,120,1
78,210960,211080,120,1
83,211080,211200,120,1
79,211200,211320,120,1
83,211320,211440,120,1
78,211440,211560,120,1
83,211560,211680,120,1
79,211680,211800,120,1
83,211800,211920,120,1
76,211920,212040,120,1
81,212040,212160,120,1
78,212160,212280,120,1
81,212280,212400,120,1
76,212400,212520,120,1
81,212520,212640,120,1
78,212640,212760,120,1
81,212760,212880,120,1
73,212880,213000,120,1
78,213000,213120,120,1
74,213120,213240,120,1
78,213240,213360,120,1
73,213360,213480,120,1
78,213480,213600,120,1
74,213600,213720,120,1
78,213720,213840,120,1
75,213840,213960,120,1
78,213960,214080,120,1
76,214080,214200,120,1
75,214200,214320,120,1
76,214320,214440,120,1
78,214440,214560,120,1
79,214560,214680,120,1
78,214680,214800,120,1
79,214800,214920,120,1
81,214920,215040,120,1
83,215040,215172,132,1
